id,title,text
1559,Poem 1559,II. LOVE.
1560,Poem 1560,I.
1561,Poem 1561,CONSECRATION.
1562,"Proud of my broken heart since thou didst break it,","Proud of the pain I did not feel till thee,
Proud of my night since thou with moons dost slake it,
Not to partake thy passion, my humility."
1563,Poem 1563,II.
1564,Poem 1564,LOVE'S HUMILITY.
1565,"My worthiness is all my doubt,","His merit all my fear,
Contrasting which, my qualities
Do lowlier appear;"
1566,Lest I should insufficient prove,"For his beloved need,
The chiefest apprehension
Within my loving creed."
1567,"So I, the undivine abode","Of his elect content,
Conform my soul as 't were a church
Unto her sacrament."
1568,Poem 1568,III.
1569,Poem 1569,LOVE.
1570,"Love is anterior to life,","Posterior to death,
Initial of creation, and
The exponent of breath."
1571,Poem 1571,IV.
1572,Poem 1572,SATISFIED.
1573,"One blessing had I, than the rest","So larger to my eyes
That I stopped gauging, satisfied,
For this enchanted size."
1574,"It was the limit of my dream,","The focus of my prayer, –
A perfect, paralyzing bliss
Contented as despair."
1575,"I knew no more of want or cold,","Phantasms both become,
For this new value in the soul,
Supremest earthly sum."
1576,The heaven below the heaven above,"Obscured with ruddier hue.
Life's latitude leant over–full;
The judgment perished, too."
1577,"Why joys so scantily disburse,","Why Paradise defer,
Why floods are served to us in bowls, –
I speculate no more."
1578,Poem 1578,V.
1579,Poem 1579,WITH A FLOWER.
1580,"When roses cease to bloom, dear,","And violets are done,
When bumble–bees in solemn flight
Have passed beyond the sun,"
1581,The hand that paused to gather,"Upon this summer's day
Will idle lie, in Auburn, –
Then take my flower, pray!"
1582,Poem 1582,VI.
1583,Poem 1583,SONG.
1584,Summer for thee grant I may be,"When summer days are flown!
Thy music still when whippoorwill
And oriole are done!"
1585,"For thee to bloom, I'll skip the tomb","And sow my blossoms o'er!
Pray gather me, Anemone,
Thy flower forevermore!"
1586,Poem 1586,VII.
1587,Poem 1587,LOYALTY.
1588,"Split the lark and you'll find the music,","Bulb after bulb, in silver rolled,
Scantily dealt to the summer morning,
Saved for your ear when lutes be old."
1589,"Loose the flood, you shall find it patent,","Gush after gush, reserved for you;
Scarlet experiment! sceptic Thomas,
Now, do you doubt that your bird was true?"
1590,Poem 1590,VIII.
1591,"To lose thee, sweeter than to gain","All other hearts I knew.
'T is true the drought is destitute,
But then I had the dew!"
1592,"The Caspian has its realms of sand,","Its other realm of sea;
Without the sterile perquisite
No Caspian could be."
1593,Poem 1593,IX.
1594,Poor little heart!,"Did they forget thee?
Then dinna care! Then dinna care!"
1595,Proud little heart!,"Did they forsake thee?
Be debonair! Be debonair!"
1596,Frail little heart!,"I would not break thee:
Could'st credit me? Could'st credit me?"
1597,Gay little heart!,"Like morning glory
Thou'll wilted be; thou'll wilted be!"
1598,Poem 1598,X.
1599,Poem 1599,FORGOTTEN.
1600,There is a word,"Which bears a sword
Can pierce an armed man.
It hurls its barbed syllables,–
At once is mute again.
But where it fell
The saved will tell
On patriotic day,
Some epauletted brother
Gave his breath away."
1601,"Wherever runs the breathless sun,","Wherever roams the day,
There is its noiseless onset,
There is its victory!"
1602,Behold the keenest marksman!,"The most accomplished shot!
Time's sublimest target
Is a soul 'forgot'!"
1603,Poem 1603,XI.
1604,I've got an arrow here;,"Loving the hand that sent it,
I the dart revere."
1605,"Fell, they will say, in 'skirmish'!","Vanquished, my soul will know,
By but a simple arrow
Sped by an archer's bow."
1606,Poem 1606,XII.
1607,Poem 1607,THE MASTER.
1608,He fumbles at your spirit,"As players at the keys
Before they drop full music on;
He stuns you by degrees,"
1609,Prepares your brittle substance,"For the ethereal blow,
By fainter hammers, further heard,
Then nearer, then so slow"
1610,"Your breath has time to straighten,","Your brain to bubble cool, –
Deals one imperial thunderbolt
That scalps your naked soul."
1611,Poem 1611,XIII.
1612,"Heart, we will forget him!","You and I, to–night!
You may forget the warmth he gave,
I will forget the light."
1613,"When you have done, pray tell me,","That I my thoughts may dim;
Haste! lest while you're lagging,
I may remember him!"
1614,Poem 1614,XIV.
1615,"Father, I bring thee not myself, –","That were the little load;
I bring thee the imperial heart
I had not strength to hold."
1616,The heart I cherished in my own,"Till mine too heavy grew,
Yet strangest, heavier since it went,
Is it too large for you?"
1617,Poem 1617,XV.
1618,We outgrow love like other things,"And put it in the drawer,
Till it an antique fashion shows
Like costumes grandsires wore."
1619,Poem 1619,XVI.
1620,"Not with a club the heart is broken,","Nor with a stone;
A whip, so small you could not see it.
I've known"
1621,To lash the magic creature,"Till it fell,
Yet that whip's name too noble
Then to tell."
1622,Magnanimous of bird,"By boy descried,
To sing unto the stone
Of which it died."
1623,Poem 1623,XVII.
1624,Poem 1624,WHO?
1625,"My friend must be a bird,","Because it flies!
Mortal my friend must be,
Because it dies!
Barbs has it, like a bee.
Ah, curious friend,
Thou puzzlest me!"
1626,Poem 1626,XVIII.
1627,"He touched me, so I live to know","That such a day, permitted so,
I groped upon his breast.
It was a boundless place to me,
And silenced, as the awful sea
Puts minor streams to rest."
1628,"And now, I'm different from before,","As if I breathed superior air,
Or brushed a royal gown;
My feet, too, that had wandered so,
My gypsy face transfigured now
To tenderer renown."
1629,Poem 1629,XIX.
1630,Poem 1630,DREAMS.
1631,Let me not mar that perfect dream,"By an auroral stain,
But so adjust my daily night
That it will come again."
1632,Poem 1632,XX.
1633,Poem 1633,NUMEN LUMEN.
1634,"I live with him, I see his face;","I go no more away
For visitor, or sundown;
Death's single privacy,"
1635,"The only one forestalling mine,","And that by right that he
Presents a claim invisible,
No wedlock granted me."
1636,"I live with him, I hear his voice,","I stand alive to–day
To witness to the certainty
Of immortality"
1637,"Taught me by Time, – the lower way,","Conviction every day, –
That life like this is endless,
Be judgment what it may."
1638,Poem 1638,XXI.
1639,Poem 1639,LONGING.
1640,"I envy seas whereon he rides,","I envy spokes of wheels
Of chariots that him convey,
I envy speechless hills"
1641,That gaze upon his journey;,"How easy all can see
What is forbidden utterly
As heaven, unto me!"
1642,I envy nests of sparrows,"That dot his distant eaves,
The wealthy fly upon his pane,
The happy, happy leaves"
1643,That just abroad his window,"Have summer's leave to be,
The earrings of Pizarro
Could not obtain for me."
1644,"I envy light that wakes him,","And bells that boldly ring
To tell him it is noon abroad, –
Myself his noon could bring,"
1645,Yet interdict my blossom,"And abrogate my bee,
Lest noon in everlasting night
Drop Gabriel and me."
1646,Poem 1646,XXII.
1647,Poem 1647,WEDDED.
1648,"A solemn thing it was, I said,","A woman white to be,
And wear, if God should count me fit,
Her hallowed mystery."
1649,A timid thing to drop a life,"Into the purple well,
Too plummetless that it come back
Eternity until."
1650,Poem 1650,III. NATURE.
1651,Poem 1651,I.
1652,Poem 1652,NATURE'S CHANGES.
1653,The springtime's pallid landscape,"Will glow like bright bouquet,
Though drifted deep in parian
The village lies to–day."
1654,"The lilacs, bending many a year,","With purple load will hang;
The bees will not forget the tune
Their old forefathers sang."
1655,"The rose will redden in the bog,","The aster on the hill
Her everlasting fashion set,
And covenant gentians frill,"
1656,Till summer folds her miracle,"As women do their gown,
Or priests adjust the symbols
When sacrament is done."
1657,Poem 1657,II.
1658,Poem 1658,THE TULIP.
1659,She slept beneath a tree,"Remembered but by me.
I touched her cradle mute;
She recognized the foot,
Put on her carmine suit, –
And see!"
1660,Poem 1660,III.
1661,A light exists in spring,"Not present on the year
At any other period.
When March is scarcely here"
1662,A color stands abroad,"On solitary hills
That science cannot overtake,
But human nature feels."
1663,It waits upon the lawn;,"It shows the furthest tree
Upon the furthest slope we know;
It almost speaks to me."
1664,"Then, as horizons step,","Or noons report away,
Without the formula of sound,
It passes, and we stay:"
1665,A quality of loss,"Affecting our content,
As trade had suddenly encroached
Upon a sacrament."
1666,Poem 1666,IV.
1667,Poem 1667,THE WAKING YEAR.
1668,A lady red upon the hill,"Her annual secret keeps;
A lady white within the field
In placid lily sleeps!"
1669,The tidy breezes with their brooms,"Sweep vale, and hill, and tree!
Prithee, my pretty housewives!
Who may expected be?"
1670,The neighbors do not yet suspect!,"The woods exchange a smile –
Orchard, and buttercup, and bird –
In such a little while!"
1671,"And yet how still the landscape stands,","How nonchalant the wood,
As if the resurrection
Were nothing very odd!"
1672,Poem 1672,V.
1673,Poem 1673,TO MARCH.
1674,"Dear March, come in!","How glad I am!
I looked for you before.
Put down your hat –
You must have walked –
How out of breath you are!
Dear March, how are you?
And the rest?
Did you leave Nature well?
Oh, March, come right upstairs with me,
I have so much to tell!"
1675,"I got your letter, and the birds';","The maples never knew
That you were coming, – I declare,
How red their faces grew!
But, March, forgive me –
And all those hills
You left for me to hue;
There was no purple suitable,
You took it all with you."
1676,Who knocks? That April!,"Lock the door!
I will not be pursued!
He stayed away a year, to call
When I am occupied.
But trifles look so trivial
As soon as you have come,
That blame is just as dear as praise
And praise as mere as blame."
1677,Poem 1677,VI.
1678,Poem 1678,MARCH.
1679,"We like March, his shoes are purple,","He is new and high;
Makes he mud for dog and peddler,
Makes he forest dry;
Knows the adder's tongue his coming,
And begets her spot.
Stands the sun so close and mighty
That our minds are hot.
News is he of all the others;
Bold it were to die
With the blue–birds buccaneering
On his British sky."
1680,Poem 1680,VII.
1681,Poem 1681,DAWN.
1682,Not knowing when the dawn will come,"I open every door;
Or has it feathers like a bird,
Or billows like a shore?"
1683,Poem 1683,VIII.
1684,"A murmur in the trees to note,","Not loud enough for wind;
A star not far enough to seek,
Nor near enough to find;"
1685,"A long, long yellow on the lawn,","A hubbub as of feet;
Not audible, as ours to us,
But dapperer, more sweet;"
1686,A hurrying home of little men,"To houses unperceived, –
All this, and more, if I should tell,
Would never be believed."
1687,Of robins in the trundle bed,"How many I espy
Whose nightgowns could not hide the wings,
Although I heard them try!"
1688,But then I promised ne'er to tell;,"How could I break my word?
So go your way and I'll go mine, –
No fear you'll miss the road."
1689,Poem 1689,IX.
1690,"Morning is the place for dew,","Corn is made at noon,
After dinner light for flowers,
Dukes for setting sun!"
1691,Poem 1691,X.
1692,To my quick ear the leaves conferred;,"The bushes they were bells;
I could not find a privacy
From Nature's sentinels."
1693,"In cave if I presumed to hide,","The walls began to tell;
Creation seemed a mighty crack
To make me visible."
1694,Poem 1694,XI.
1695,Poem 1695,A ROSE.
1696,"A sepal, petal, and a thorn","Upon a common summer's morn,
A flash of dew, a bee or two,
A breeze
A caper in the trees, –
And I'm a rose!"
1697,Poem 1697,XII.
1698,High from the earth I heard a bird;,"He trod upon the trees
As he esteemed them trifles,
And then he spied a breeze,
And situated softly
Upon a pile of wind
Which in a perturbation
Nature had left behind.
A joyous–going fellow
I gathered from his talk,
Which both of benediction
And badinage partook,
Without apparent burden,
I learned, in leafy wood
He was the faithful father
Of a dependent brood;
And this untoward transport
His remedy for care, –
A contrast to our respites.
How different we are!"
1699,Poem 1699,XIII.
1700,Poem 1700,COBWEBS.
1701,The spider as an artist,"Has never been employed
Though his surpassing merit
Is freely certified"
1702,By every broom and Bridget,"Throughout a Christian land.
Neglected son of genius,
I take thee by the hand."
1703,Poem 1703,XIV.
1704,Poem 1704,A WELL.
1705,What mystery pervades a well!,"The water lives so far,
Like neighbor from another world
Residing in a jar."
1706,The grass does not appear afraid;,"I often wonder he
Can stand so close and look so bold
At what is dread to me."
1707,"Related somehow they may be, –","The sedge stands next the sea,
Where he is floorless, yet of fear
No evidence gives he."
1708,But nature is a stranger yet;,"The ones that cite her most
Have never passed her haunted house,
Nor simplified her ghost."
1709,To pity those that know her not,"Is helped by the regret
That those who know her, know her less
The nearer her they get."
1710,Poem 1710,XV.
1711,"To make a prairie it takes a clover and one bee, –","One clover, and a bee,
And revery.
The revery alone will do
If bees are few."
1712,Poem 1712,XVI.
1713,Poem 1713,THE WIND.
1714,"It's like the light, –","A fashionless delight
It's like the bee, –
A dateless melody."
1715,"It's like the woods,","Private like breeze,
Phraseless, yet it stirs
The proudest trees."
1716,"It's like the morning, –","Best when it's done, –
The everlasting clocks
Chime noon."
1717,Poem 1717,XVII.
1718,A dew sufficed itself,"And satisfied a leaf,
And felt, 'how vast a destiny!
How trivial is life!'"
1719,"The sun went out to work,","The day went out to play,
But not again that dew was seen
By physiognomy."
1720,"Whether by day abducted,","Or emptied by the sun
Into the sea, in passing,
Eternally unknown."
1721,Poem 1721,XVIII.
1722,Poem 1722,THE WOODPECKER.
1723,"His bill an auger is,","His head, a cap and frill.
He laboreth at every tree, –
A worm his utmost goal."
1724,Poem 1724,XIX.
1725,Poem 1725,A SNAKE.
1726,"Sweet is the swamp with its secrets,","Until we meet a snake;
'T is then we sigh for houses,
And our departure take
At that enthralling gallop
That only childhood knows.
A snake is summer's treason,
And guile is where it goes."
1727,Poem 1727,XX.
1728,"Could I but ride indefinite,","As doth the meadow–bee,
And visit only where I liked,
And no man visit me,"
1729,"And flirt all day with buttercups,","And marry whom I may,
And dwell a little everywhere,
Or better, run away"
1730,"With no police to follow,","Or chase me if I do,
Till I should jump peninsulas
To get away from you, –"
1731,"I said, but just to be a bee","Upon a raft of air,
And row in nowhere all day long,
And anchor off the bar,–
What liberty! So captives deem
Who tight in dungeons are."
1732,Poem 1732,XXI.
1733,Poem 1733,THE MOON.
1734,The moon was but a chin of gold,"A night or two ago,
And now she turns her perfect face
Upon the world below."
1735,Her forehead is of amplest blond;,"Her cheek like beryl stone;
Her eye unto the summer dew
The likest I have known."
1736,Her lips of amber never part;,"But what must be the smile
Upon her friend she could bestow
Were such her silver will!"
1737,And what a privilege to be,"But the remotest star!
For certainly her way might pass
Beside your twinkling door."
1738,"Her bonnet is the firmament,","The universe her shoe,
The stars the trinkets at her belt,
Her dimities of blue."
1739,Poem 1739,XXII.
1740,Poem 1740,THE BAT.
1741,The bat is dun with wrinkled wings,"Like fallow article,
And not a song pervades his lips,
Or none perceptible."
1742,"His small umbrella, quaintly halved,","Describing in the air
An arc alike inscrutable, –
Elate philosopher!"
1743,Deputed from what firmament,"Of what astute abode,
Empowered with what malevolence
Auspiciously withheld."
1744,To his adroit Creator,"Ascribe no less the praise;
Beneficent, believe me,
His eccentricities."
1745,Poem 1745,XXIII.
1746,Poem 1746,THE BALLOON.
1747,"You've seen balloons set, haven't you?","So stately they ascend
It is as swans discarded you
For duties diamond."
1748,Their liquid feet go softly out,"Upon a sea of blond;
They spurn the air as 't were too mean
For creatures so renowned."
1749,"Their ribbons just beyond the eye,","They struggle some for breath,
And yet the crowd applauds below;
They would not encore death."
1750,"The gilded creature strains and spins,","Trips frantic in a tree,
Tears open her imperial veins
And tumbles in the sea."
1751,The crowd retire with an oath,"The dust in streets goes down,
And clerks in counting–rooms observe,
''T was only a balloon.'"
1752,Poem 1752,XXIV.
1753,Poem 1753,EVENING.
1754,"The cricket sang,","And set the sun,
And workmen finished, one by one,
Their seam the day upon."
1755,"The low grass loaded with the dew,","The twilight stood as strangers do
With hat in hand, polite and new,
To stay as if, or go."
1756,"A vastness, as a neighbor, came, –","A wisdom without face or name,
A peace, as hemispheres at home, –
And so the night became."
1757,Poem 1757,XXV.
1758,Poem 1758,COCOON.
1759,Drab habitation of whom?,"Tabernacle or tomb,
Or dome of worm,
Or porch of gnome,
Or some elf's catacomb?"
1760,Poem 1760,XXVI.
1761,Poem 1761,SUNSET.
1762,A sloop of amber slips away,"Upon an ether sea,
And wrecks in peace a purple tar,
The son of ecstasy."
1763,Poem 1763,XXVII.
1764,Poem 1764,AURORA.
1765,Of bronze and blaze,"The north, to–night!
So adequate its forms,
So preconcerted with itself,
So distant to alarms, –
An unconcern so sovereign
To universe, or me,
It paints my simple spirit
With tints of majesty,
Till I take vaster attitudes,
And strut upon my stem,
Disdaining men and oxygen,
For arrogance of them."
1766,My splendors are menagerie;,"But their competeless show
Will entertain the centuries
When I am, long ago,
An island in dishonored grass,
Whom none but daisies know."
1767,Poem 1767,XXVIII.
1768,Poem 1768,THE COMING OF NIGHT.
1769,"How the old mountains drip with sunset,","And the brake of dun!
How the hemlocks are tipped in tinsel
By the wizard sun!"
1770,"How the old steeples hand the scarlet,","Till the ball is full, –
Have I the lip of the flamingo
That I dare to tell?"
1771,"Then, how the fire ebbs like billows,","Touching all the grass
With a departing, sapphire feature,
As if a duchess pass!"
1772,How a small dusk crawls on the village,"Till the houses blot;
And the odd flambeaux no men carry
Glimmer on the spot!"
1773,"Now it is night in nest and kennel,","And where was the wood,
Just a dome of abyss is nodding
Into solitude! –"
1774,These are the visions baffled Guido;,"Titian never told;
Domenichino dropped the pencil,
Powerless to unfold."
1775,Poem 1775,XXIX.
1776,Poem 1776,AFTERMATH.
1777,The murmuring of bees has ceased;,"But murmuring of some
Posterior, prophetic,
Has simultaneous come, –"
1778,"The lower metres of the year,","When nature's laugh is done, –
The Revelations of the book
Whose Genesis is June."
1779,Poem 1779,IV. TIME AND ETERNITY.
1780,Poem 1780,I.
1781,This world is not conclusion;,"A sequel stands beyond,
Invisible, as music,
But positive, as sound.
It beckons and it baffles;
Philosophies don't know,
And through a riddle, at the last,
Sagacity must go.
To guess it puzzles scholars;
To gain it, men have shown
Contempt of generations,
And crucifixion known."
1782,Poem 1782,II.
1783,We learn in the retreating,"How vast an one
Was recently among us.
A perished sun"
1784,Endears in the departure,"How doubly more
Than all the golden presence
It was before!"
1785,Poem 1785,III.
1786,"They say that 'time assuages,' –","Time never did assuage;
An actual suffering strengthens,
As sinews do, with age."
1787,"Time is a test of trouble,","But not a remedy.
If such it prove, it prove too
There was no malady."
1788,Poem 1788,IV.
1789,"We cover thee, sweet face.","Not that we tire of thee,
But that thyself fatigue of us;
Remember, as thou flee,
We follow thee until
Thou notice us no more,
And then, reluctant, turn away
To con thee o'er and o'er,
And blame the scanty love
We were content to show,
Augmented, sweet, a hundred fold
If thou would'st take it now."
1790,Poem 1790,V.
1791,Poem 1791,ENDING.
1792,"That is solemn we have ended, –","Be it but a play,
Or a glee among the garrets,
Or a holiday,"
1793,"Or a leaving home; or later,","Parting with a world
We have understood, for better
Still it be unfurled."
1794,Poem 1794,VI.
1795,"The stimulus, beyond the grave","His countenance to see,
Supports me like imperial drams
Afforded royally."
1796,Poem 1796,VII.
1797,"Given in marriage unto thee,","Oh, thou celestial host!
Bride of the Father and the Son,
Bride of the Holy Ghost!"
1798,"Other betrothal shall dissolve,","Wedlock of will decay;
Only the keeper of this seal
Conquers mortality."
1799,Poem 1799,VIII.
1800,That such have died enables us,"The tranquiller to die;
That such have lived, certificate
For immortality."
1801,Poem 1801,IX.
1802,"They won't frown always, – some sweet day","When I forget to tease,
They'll recollect how cold I looked,
And how I just said 'please.'"
1803,Then they will hasten to the door,"To call the little child,
Who cannot thank them, for the ice
That on her lisping piled."
1804,Poem 1804,X.
1805,Poem 1805,IMMORTALITY.
1806,"It is an honorable thought,","And makes one lift one's hat,
As one encountered gentlefolk
Upon a daily street,"
1807,"That we've immortal place,","Though pyramids decay,
And kingdoms, like the orchard,
Flit russetly away."
1808,Poem 1808,XI.
1809,The distance that the dead have gone,"Does not at first appear;
Their coming back seems possible
For many an ardent year."
1810,"And then, that we have followed them","We more than half suspect,
So intimate have we become
With their dear retrospect."
1811,Poem 1811,XII.
1812,"How dare the robins sing,","When men and women hear
Who since they went to their account
Have settled with the year! –
Paid all that life had earned
In one consummate bill,
And now, what life or death can do
Is immaterial.
Insulting is the sun
To him whose mortal light,
Beguiled of immortality,
Bequeaths him to the night.
In deference to him
Extinct be every hum,
Whose garden wrestles with the dew,
At daybreak overcome!"
1813,Poem 1813,XIII.
1814,Poem 1814,DEATH.
1815,Death is like the insect,"Menacing the tree,
Competent to kill it,
But decoyed may be."
1816,"Bait it with the balsam,","Seek it with the knife,
Baffle, if it cost you
Everything in life."
1817,"Then, if it have burrowed","Out of reach of skill,
Ring the tree and leave it, –
'T is the vermin's will."
1818,Poem 1818,XIV.
1819,Poem 1819,UNWARNED.
1820,"'T is sunrise, little maid, hast thou","No station in the day?
'T was not thy wont to hinder so, –
Retrieve thine industry."
1821,"'T is noon, my little maid, alas!","And art thou sleeping yet?
The lily waiting to be wed,
The bee, dost thou forget?"
1822,"My little maid, 't is night; alas,","That night should be to thee
Instead of morning! Hadst thou broached
Thy little plan to me,
Dissuade thee if I could not, sweet,
I might have aided thee."
1823,Poem 1823,XV.
1824,Each that we lose takes part of us;,"A crescent still abides,
Which like the moon, some turbid night,
Is summoned by the tides."
1825,Poem 1825,XVI.
1826,Not any higher stands the grave,"For heroes than for men;
Not any nearer for the child
Than numb three–score and ten."
1827,This latest leisure equal lulls,"The beggar and his queen;
Propitiate this democrat
By summer's gracious mien."
1828,Poem 1828,XVII.
1829,Poem 1829,ASLEEP.
1830,"As far from pity as complaint,","As cool to speech as stone,
As numb to revelation
As if my trade were bone."
1831,"As far from time as history,","As near yourself to–day
As children to the rainbow's scarf,
Or sunset's yellow play"
1832,To eyelids in the sepulchre.,"How still the dancer lies,
While color's revelations break,
And blaze the butterflies!"
1833,Poem 1833,XVIII.
1834,Poem 1834,THE SPIRIT.
1835,"'T is whiter than an Indian pipe,","'T is dimmer than a lace;
No stature has it, like a fog,
When you approach the place."
1836,"Not any voice denotes it here,","Or intimates it there;
A spirit, how doth it accost?
What customs hath the air?"
1837,This limitless hyperbole,"Each one of us shall be;
'T is drama, if (hypothesis)
It be not tragedy!"
1838,Poem 1838,XIX.
1839,Poem 1839,THE MONUMENT.
1840,"She laid her docile crescent down,","And this mechanic stone
Still states, to dates that have forgot,
The news that she is gone."
1841,"So constant to its stolid trust,","The shaft that never knew,
It shames the constancy that fled
Before its emblem flew."
1842,Poem 1842,XX.
1843,"Bless God, he went as soldiers,","His musket on his breast;
Grant, God, he charge the bravest
Of all the martial blest."
1844,"Please God, might I behold him","In epauletted white,
I should not fear the foe then,
I should not fear the fight."
1845,Poem 1845,XXI.
1846,Immortal is an ample word,"When what we need is by,
But when it leaves us for a time,
'T is a necessity."
1847,Of heaven above the firmest proof,"We fundamental know,
Except for its marauding hand,
It had been heaven below."
1848,Poem 1848,XXII.
1849,"Where every bird is bold to go,","And bees abashless play,
The foreigner before he knocks
Must thrust the tears away."
1850,Poem 1850,XXIII.
1851,"The grave my little cottage is,","Where, keeping house for thee,
I make my parlor orderly,
And lay the marble tea,"
1852,"For two divided, briefly,","A cycle, it may be,
Till everlasting life unite
In strong society."
1853,Poem 1853,XXIV.
1854,"This was in the white of the year,","That was in the green,
Drifts were as difficult then to think
As daisies now to be seen."
1855,"Looking back is best that is left,","Or if it be before,
Retrospection is prospect's half,
Sometimes almost more."
1856,Poem 1856,XXV.
1857,Sweet hours have perished here;,"This is a mighty room;
Within its precincts hopes have played, –
Now shadows in the tomb."
1858,Poem 1858,XXVI.
1859,Me! Come! My dazzled face,In such a shining place!
1860,Me! Hear! My foreign ear,The sounds of welcome near!
1861,The saints shall meet,Our bashful feet.
1862,My holiday shall be,That they remember me;
1863,"My paradise, the fame",That they pronounce my name.
1864,Poem 1864,XXVII.
1865,Poem 1865,INVISIBLE.
1866,"From us she wandered now a year,","Her tarrying unknown;
If wilderness prevent her feet,
Or that ethereal zone"
1867,"No eye hath seen and lived,","We ignorant must be.
We only know what time of year
We took the mystery."
1868,Poem 1868,XXVIII.
1869,"I wish I knew that woman's name,","So, when she comes this way,
To hold my life, and hold my ears,
For fear I hear her say"
1870,"She's 'sorry I am dead,' again,","Just when the grave and I
Have sobbed ourselves almost to sleep, –
Our only lullaby."
1871,Poem 1871,XXIX.
1872,Poem 1872,TRYING TO FORGET.
1873,"Bereaved of all, I went abroad,","No less bereaved to be
Upon a new peninsula, –
The grave preceded me,"
1874,"Obtained my lodgings ere myself,","And when I sought my bed,
The grave it was, reposed upon
The pillow for my head."
1875,"I waked, to find it first awake,","I rose, – it followed me;
I tried to drop it in the crowd,
To lose it in the sea,"
1876,In cups of artificial drowse,"To sleep its shape away, –
The grave was finished, but the spade
Remained in memory."
1877,Poem 1877,XXX.
1878,"I felt a funeral in my brain,","And mourners, to and fro,
Kept treading, treading, till it seemed
That sense was breaking through."
1879,"And when they all were seated,","A service like a drum
Kept beating, beating, till I thought
My mind was going numb."
1880,"And then I heard them lift a box,","And creak across my soul
With those same boots of lead, again.
Then space began to toll"
1881,"As all the heavens were a bell,","And Being but an ear,
And I and silence some strange race,
Wrecked, solitary, here."
1882,Poem 1882,XXXI.
1883,I meant to find her when I came;,"Death had the same design;
But the success was his, it seems,
And the discomfit mine."
1884,I meant to tell her how I longed,"For just this single time;
But Death had told her so the first,
And she had hearkened him."
1885,To wander now is my abode;,"To rest, – to rest would be
A privilege of hurricane
To memory and me."
1886,Poem 1886,XXXII.
1887,Poem 1887,WAITING.
1888,"I sing to use the waiting,","My bonnet but to tie,
And shut the door unto my house;
No more to do have I,"
1889,"Till, his best step approaching,","We journey to the day,
And tell each other how we sang
To keep the dark away."
1890,Poem 1890,XXXIII.
1891,A sickness of this world it most occasions,"When best men die;
A wishfulness their far condition
To occupy."
1892,"A chief indifference, as foreign","A world must be
Themselves forsake contented,
For Deity."
1893,Poem 1893,XXXIV.
1894,Superfluous were the sun,"When excellence is dead;
He were superfluous every day,
For every day is said"
1895,That syllable whose faith,"Just saves it from despair,
And whose 'I'll meet you' hesitates
If love inquire, 'Where?'"
1896,Upon his dateless fame,"Our periods may lie,
As stars that drop anonymous
From an abundant sky."
1897,Poem 1897,XXXV.
1898,So proud she was to die,"It made us all ashamed
That what we cherished, so unknown
To her desire seemed."
1899,So satisfied to go,"Where none of us should be,
Immediately, that anguish stooped
Almost to jealousy."
1900,Poem 1900,XXXVI.
1901,Poem 1901,FAREWELL.
1902,"Tie the strings to my life, my Lord,","Then I am ready to go!
Just a look at the horses –
Rapid! That will do!"
1903,"Put me in on the firmest side,","So I shall never fall;
For we must ride to the Judgment,
And it's partly down hill."
1904,"But never I mind the bridges,","And never I mind the sea;
Held fast in everlasting race
By my own choice and thee."
1905,"Good–by to the life I used to live,","And the world I used to know;
And kiss the hills for me, just once;
Now I am ready to go!"
1906,Poem 1906,XXXVII.
1907,"The dying need but little, dear, –","A glass of water's all,
A flower's unobtrusive face
To punctuate the wall,"
1908,"A fan, perhaps, a friend's regret,","And certainly that one
No color in the rainbow
Perceives when you are gone."
1909,Poem 1909,XXXVIII.
1910,Poem 1910,DEAD.
1911,There's something quieter than sleep,"Within this inner room!
It wears a sprig upon its breast,
And will not tell its name."
1912,"Some touch it and some kiss it,","Some chafe its idle hand;
It has a simple gravity
I do not understand!"
1913,While simple–hearted neighbors,"Chat of the 'early dead,'
We, prone to periphrasis,
Remark that birds have fled!"
1914,Poem 1914,XXXIX.
1915,"The soul should always stand ajar,","That if the heaven inquire,
He will not be obliged to wait,
Or shy of troubling her."
1916,"Depart, before the host has slid","The bolt upon the door,
To seek for the accomplished guest, –
Her visitor no more."
1917,Poem 1917,XL.
1918,"Three weeks passed since I had seen her, –","Some disease had vexed;
'T was with text and village singing
I beheld her next,"
1919,And a company – our pleasure,"To discourse alone;
Gracious now to me as any,
Gracious unto none."
1920,"Borne, without dissent of either,","To the parish night;
Of the separated people
Which are out of sight?"
1921,Poem 1921,XLI.
1922,"I breathed enough to learn the trick,","And now, removed from air,
I simulate the breath so well,
That one, to be quite sure"
1923,"The lungs are stirless, must descend","Among the cunning cells,
And touch the pantomime himself.
How cool the bellows feels!"
1924,Poem 1924,XLII.
1925,I wonder if the sepulchre,"Is not a lonesome way,
When men and boys, and larks and June
Go down the fields to hay!"
1926,Poem 1926,XLIII.
1927,Poem 1927,JOY IN DEATH.
1928,If tolling bell I ask the cause.,"'A soul has gone to God,'
I'm answered in a lonesome tone;
Is heaven then so sad?"
1929,That bells should joyful ring to tell,"A soul had gone to heaven,
Would seem to me the proper way
A good news should be given."
1930,Poem 1930,XLIV.
1931,If I may have it when it's dead,"I will contented be;
If just as soon as breath is out
It shall belong to me,"
1932,"Until they lock it in the grave,","'T is bliss I cannot weigh,
For though they lock thee in the grave,
Myself can hold the key."
